run,arch,arm,flags,best_ep,step1_flat,step1_crm,step1_mixed,ol_flat10,ol_crm10,S
L8_H8_E256_ctx128_mix00,L8/H8/E256/c128,data_mix,spec,61,0.0018149431992969768,1.2660211718082428,0.0018149431992969768,0.03803162100216525,1.9407770180271835,0.03803162100216525
L8_H8_E256_ctx128_mix100,L8/H8/E256/c128,data_mix,spec,54,0.7233168440125882,0.1059986346057849,0.1059986346057849,0.39553534204550245,0.04167300971142562,0.04167300971142562
L8_H8_E256_ctx128_data80,L8/H8/E256/c128,data_quantity,data80%,72,0.0020294963096966967,0.10489066589449067,0.05346008110209368,0.038910427384423914,0.04617491376313912,0.04254267057378151
L8_H8_E256_ctx128,L8/H8/E256/c128,depth,-,51,0.0024814492871882976,0.09377663047343958,0.04812903988031394,0.03733272899748236,0.05383195426670264,0.0455823416320925
L6_H8_E256_ctx256,L6/H8/E256/c256,context,-,65,0.002115183305413666,0.11391615922620986,0.05801567126581176,0.06133163797509982,0.03680026800694496,0.04906595299102239
L6_H16_E512_ctx128,L6/H16/E512/c128,width,-,66,0.0019974645475122088,0.10307585865753936,0.052536661602525785,0.045627544827476635,0.05267286222514254,0.04915020352630958
L6_H12_E384_ctx128,L6/H12/E384/c128,width,-,30,0.0030442881430280976,0.09475787058472633,0.04890107936387721,0.05568105288124999,0.048806824932731946,0.05224393890699097
L6_H16_E256_ctx128,L6/H16/E256/c128,heads,-,78,0.00208340330314968,0.09669893709942698,0.04939117020128833,0.06693307089285239,0.03864300452009747,0.05278803770647493
L12_H8_E256_ctx128,L12/H8/E256/c128,depth,-,21,0.0034291159086569678,0.09064706326520536,0.04703808958693116,0.06400017618993617,0.04828985348920657,0.05614501483957137
L8_H8_E256_ctx128_no_tireforce_omega,L8/H8/E256/c128,feature_ablation,7ch,72,0.003410787840221019,0.06197759299335303,0.032694190416787026,0.0341033183355367,0.07999220870690299,0.057047763521219846
L6_H6_E192_ctx128,L6/H6/E192/c128,width,-,64,0.00242292096334495,0.08653112188447266,0.04447702142390881,0.05778078170133132,0.06049175856411462,0.059136270132722976
L8_H8_E256_ctx128_data60,L8/H8/E256/c128,data_quantity,data60%,77,0.0020711976883103487,0.11402801531628938,0.058049606502299865,0.06988384188124004,0.057074381658312454,0.06347911176977625
L8_H8_E256_ctx128_data40,L8/H8/E256/c128,data_quantity,data40%,68,0.002191578435631527,0.12394400866527576,0.06306779355045364,0.08113936086095994,0.048095133701250826,0.06461724728110538
L8_H8_E256_ctx128_no_onehot,L8/H8/E256/c128,feature_ablation,no1hot,58,0.002360127213505621,0.09394591792079154,0.04815302256714858,0.08255984900488991,0.04861455631244004,0.06558720265866498
L2_H8_E256_ctx128,L2/H8/E256/c128,depth,-,33,0.0039759231189964335,0.09736769964802079,0.05067181138350861,0.09141589784209259,0.04386167410714419,0.06763878597461839
L6_H4_E256_ctx128,L6/H4/E256/c128,heads,-,72,0.002130352019885322,0.09500387498061173,0.048567113500248525,0.07542785825201691,0.06059406454905232,0.06801096140053461
L8_H8_E256_ctx128_data20,L8/H8/E256/c128,data_quantity,data20%,58,0.0023198411699740973,0.1382111586764222,0.07026549992319815,0.04189610059765795,0.09647293554535258,0.06918451807150526
L6_H8_E256_ctx128 (anchor),L6/H8/E256/c128,anchor,-,69,0.002180960453242733,0.09480932249163743,0.04849514147244008,0.09089370792762705,0.05777425858079298,0.07433398325421
L6_H8_E256_ctx64,L6/H8/E256/c64,context,-,71,0.0022562406193173956,0.09039802043989767,0.04632713052960753,0.06934174912057166,0.08272430264869557,0.07603302588463362
L4_H8_E256_ctx128,L4/H8/E256/c128,depth,-,36,0.0033543891052067922,0.09104109323699959,0.04719774117110319,0.08693011704036671,0.06972546340150135,0.07832779022093403
L6_H8_E256_ctx32,L6/H8/E256/c32,context,-,45,0.003490150341485787,0.10101288222766015,0.05225151628457297,0.09429383483113418,0.06942475836546001,0.0818592965982971
L6_H4_E128_ctx128,L6/H4/E128/c128,width,-,39,0.0036935778719271186,0.09154224525555037,0.04761791156373874,0.08802125744299104,0.07712795143542321,0.08257460443920712
