ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [1/800] f104_crm_eval_group_0000 B z -11.880 (pess -10.671) -> G z -12.393 (pess -12.067) gain 1.396 from round0/sample step 34 | valid 17/17 | 3.84s (cem 0.73 refine 3.04 [60 steps] finals 0.06)
  [2/800] f104_crm_eval_group_0001 B z -13.339 (pess -12.959) -> G abstain | valid 17/17 | 2.55s (cem 0.35 refine 2.13 [60 steps] finals 0.05)
  [3/800] f104_crm_eval_group_0002 B z -13.310 (pess -12.917) -> G abstain | valid 17/17 | 2.55s (cem 0.35 refine 2.13 [60 steps] finals 0.05)
  [4/800] f104_crm_eval_group_0003 B z -13.041 (pess -12.101) -> G z -13.222 (pess -12.488) gain 0.387 from round0/sample step 60 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [5/800] f104_crm_eval_group_0004 B z -12.861 (pess -11.409) -> G z -13.306 (pess -13.007) gain 1.601 from B/sample step 25 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [6/800] f104_crm_eval_group_0005 B z -12.029 (pess -10.566) -> G z -12.994 (pess -12.698) gain 2.129 from B/sample step 23 | valid 17/17 | 2.55s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [7/800] f104_crm_eval_group_0006 B z -12.269 (pess -11.648) -> G z -12.710 (pess -12.651) gain 1.003 from B/sample step 46 | valid 17/17 | 2.54s (cem 0.34 refine 2.13 [60 steps] finals 0.05)
  [8/800] f104_crm_eval_group_0007 B z -13.041 (pess -12.647) -> G z -13.182 (pess -13.082) gain 0.435 from B/sample step 12 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [9/800] f104_crm_eval_group_0008 B z -13.320 (pess -12.965) -> G z -13.414 (pess -13.294) gain 0.329 from round0/sample step 24 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [10/800] f104_crm_eval_group_0009 B z -13.116 (pess -12.785) -> G z -13.331 (pess -13.304) gain 0.519 from B/sample step 53 | valid 17/17 | 2.54s (cem 0.34 refine 2.13 [60 steps] finals 0.05)
  [11/800] f104_crm_eval_group_0010 B z -11.323 (pess -10.141) -> G z -12.244 (pess -11.729) gain 1.591 from B/sample step 47 | valid 17/17 | 2.53s (cem 0.35 refine 2.12 [60 steps] finals 0.05)
  [12/800] f104_crm_eval_group_0011 B z -12.459 (pess -11.401) -> G z -13.327 (pess -13.198) gain 1.798 from B/sample step 60 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [13/800] f104_crm_eval_group_0012 B z -12.772 (pess -12.038) -> G z -13.060 (pess -12.604) gain 0.567 from round0/sample step 60 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [14/800] f104_crm_eval_group_0013 B z -7.594 (pess -6.018) -> G z -8.397 (pess -7.859) gain 1.840 from B/anchor step 58 | valid 17/17 | 2.58s (cem 0.35 refine 2.16 [60 steps] finals 0.06)
  [15/800] f104_crm_eval_group_0014 B z -10.337 (pess -9.424) -> G z -11.804 (pess -11.089) gain 1.663 from round0/anchor step 51 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [16/800] f104_crm_eval_group_0015 B z -13.210 (pess -12.564) -> G z -13.301 (pess -12.928) gain 0.370 from round0/sample step 32 | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [17/800] f104_crm_eval_group_0016 B z -12.402 (pess -10.710) -> G z -13.305 (pess -13.110) gain 2.401 from round0/anchor step 33 | valid 17/17 | 2.51s (cem 0.36 refine 2.09 [60 steps] finals 0.05)
  [18/800] f104_crm_eval_group_0017 B z -10.547 (pess -8.240) -> G z -11.431 (pess -8.650) gain 0.411 from B/sample step 52 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [19/800] f104_crm_eval_group_0018 B z -12.461 (pess -11.641) -> G abstain | valid 17/17 | 2.57s (cem 0.34 refine 2.16 [60 steps] finals 0.05)
  [20/800] f104_crm_eval_group_0019 B z -12.874 (pess -12.000) -> G z -12.954 (pess -12.333) gain 0.334 from B/sample step 12 | valid 17/17 | 2.54s (cem 0.34 refine 2.13 [60 steps] finals 0.05)
