ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [1/800] f104_crm_eval_group_0000 B z -8.106 (pess -7.855) -> G abstain | valid 17/17 | 4.64s (cem 0.74 refine 3.84 [60 steps] finals 0.05)
  [2/800] f104_crm_eval_group_0001 B z -8.200 (pess -7.932) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [3/800] f104_crm_eval_group_0002 B z -8.115 (pess -7.883) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [4/800] f104_crm_eval_group_0003 B z -8.121 (pess -7.815) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [5/800] f104_crm_eval_group_0004 B z -8.201 (pess -7.845) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [6/800] f104_crm_eval_group_0005 B z -8.007 (pess -7.589) -> G abstain | valid 17/17 | 3.44s (cem 0.36 refine 3.02 [60 steps] finals 0.05)
  [7/800] f104_crm_eval_group_0006 B z -8.053 (pess -7.821) -> G abstain | valid 17/17 | 3.39s (cem 0.35 refine 2.98 [60 steps] finals 0.05)
  [8/800] f104_crm_eval_group_0007 B z -8.148 (pess -7.876) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [9/800] f104_crm_eval_group_0008 B z -8.215 (pess -7.917) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [10/800] f104_crm_eval_group_0009 B z -8.216 (pess -7.886) -> G abstain | valid 17/17 | 3.38s (cem 0.35 refine 2.96 [60 steps] finals 0.05)
  [11/800] f104_crm_eval_group_0010 B z -8.075 (pess -7.673) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [12/800] f104_crm_eval_group_0011 B z -8.162 (pess -7.846) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [13/800] f104_crm_eval_group_0012 B z -8.190 (pess -7.968) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [14/800] f104_crm_eval_group_0013 B z -7.753 (pess -7.331) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [15/800] f104_crm_eval_group_0014 B z -8.130 (pess -7.819) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [16/800] f104_crm_eval_group_0015 B z -8.207 (pess -7.915) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [17/800] f104_crm_eval_group_0016 B z -8.185 (pess -7.793) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [18/800] f104_crm_eval_group_0017 B z -7.965 (pess -7.715) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [19/800] f104_crm_eval_group_0018 B z -8.074 (pess -7.834) -> G abstain | valid 17/17 | 3.45s (cem 0.42 refine 2.97 [60 steps] finals 0.05)
  [20/800] f104_crm_eval_group_0019 B z -8.195 (pess -7.892) -> G abstain | valid 17/17 | 3.29s (cem 0.36 refine 2.87 [60 steps] finals 0.05)
  [21/800] f104_crm_eval_group_0020 B z -8.239 (pess -7.865) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
