ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [1/800] f104_crm_eval_group_0000 B z -13.364 (pess -12.926) -> G z -13.541 (pess -13.421) gain 0.496 from round0/sample step 56 | valid 17/17 | 3.89s (cem 0.73 refine 3.09 [60 steps] finals 0.06)
  [2/800] f104_crm_eval_group_0001 B z -13.564 (pess -13.359) -> G abstain | valid 17/17 | 2.60s (cem 0.35 refine 2.19 [60 steps] finals 0.05)
  [3/800] f104_crm_eval_group_0002 B z -13.636 (pess -13.485) -> G abstain | valid 17/17 | 2.29s (cem 0.35 refine 1.88 [60 steps] finals 0.05)
  [4/800] f104_crm_eval_group_0003 B z -13.682 (pess -13.609) -> G abstain | valid 17/17 | 2.33s (cem 0.35 refine 1.92 [60 steps] finals 0.05)
  [5/800] f104_crm_eval_group_0004 B z -13.024 (pess -12.389) -> G z -13.638 (pess -13.517) gain 1.128 from B/sample step 60 | valid 17/17 | 2.58s (cem 0.34 refine 2.17 [60 steps] finals 0.06)
  [6/800] f104_crm_eval_group_0005 B z -13.201 (pess -12.589) -> G z -13.281 (pess -13.041) gain 0.451 from round0/sample step 30 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [7/800] f104_crm_eval_group_0006 B z -13.222 (pess -12.882) -> G z -13.355 (pess -13.258) gain 0.377 from round0/sample step 13 | valid 17/17 | 2.62s (cem 0.35 refine 2.21 [60 steps] finals 0.05)
  [8/800] f104_crm_eval_group_0007 B z -13.364 (pess -12.913) -> G z -13.492 (pess -13.227) gain 0.314 from B/sample step 30 | valid 17/17 | 2.58s (cem 0.34 refine 2.17 [60 steps] finals 0.05)
  [9/800] f104_crm_eval_group_0008 B z -13.643 (pess -13.559) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [10/800] f104_crm_eval_group_0009 B z -13.355 (pess -13.040) -> G abstain | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [11/800] f104_crm_eval_group_0010 B z -12.974 (pess -12.019) -> G z -13.390 (pess -13.264) gain 1.246 from round0/sample step 60 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
