ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [1/800] f104_crm_eval_group_0000 B z -8.131 (pess -7.774) -> G abstain | valid 17/17 | 4.61s (cem 0.75 refine 3.79 [60 steps] finals 0.05)
  [2/800] f104_crm_eval_group_0001 B z -8.222 (pess -7.947) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [3/800] f104_crm_eval_group_0002 B z -8.125 (pess -7.886) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [4/800] f104_crm_eval_group_0003 B z -8.120 (pess -7.822) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [5/800] f104_crm_eval_group_0004 B z -8.230 (pess -7.886) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [6/800] f104_crm_eval_group_0005 B z -7.975 (pess -7.680) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [7/800] f104_crm_eval_group_0006 B z -8.069 (pess -7.786) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [8/800] f104_crm_eval_group_0007 B z -8.181 (pess -7.885) -> G abstain | valid 17/17 | 1.93s (cem 0.36 refine 1.51 [60 steps] finals 0.04)
  [9/800] f104_crm_eval_group_0008 B z -8.221 (pess -7.896) -> G abstain | valid 17/17 | 1.95s (cem 0.36 refine 1.54 [60 steps] finals 0.04)
  [10/800] f104_crm_eval_group_0009 B z -8.242 (pess -7.868) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [11/800] f104_crm_eval_group_0010 B z -8.147 (pess -7.813) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [12/800] f104_crm_eval_group_0011 B z -8.211 (pess -7.860) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [13/800] f104_crm_eval_group_0012 B z -8.215 (pess -7.975) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [14/800] f104_crm_eval_group_0013 B z -7.850 (pess -7.533) -> G abstain | valid 17/17 | 3.40s (cem 0.38 refine 2.96 [60 steps] finals 0.05)
  [15/800] f104_crm_eval_group_0014 B z -8.167 (pess -7.845) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [16/800] f104_crm_eval_group_0015 B z -8.200 (pess -7.899) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [17/800] f104_crm_eval_group_0016 B z -8.219 (pess -7.825) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [18/800] f104_crm_eval_group_0017 B z -7.937 (pess -7.301) -> G z -8.085 (pess -7.700) gain 0.398 from B/sample step 23 | valid 17/17 | 3.36s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [19/800] f104_crm_eval_group_0018 B z -7.982 (pess -7.789) -> G abstain | valid 17/17 | 3.42s (cem 0.43 refine 2.93 [60 steps] finals 0.05)
  [20/800] f104_crm_eval_group_0019 B z -8.213 (pess -7.924) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [21/800] f104_crm_eval_group_0020 B z -8.270 (pess -7.908) -> G abstain | valid 17/17 | 3.38s (cem 0.39 refine 2.93 [60 steps] finals 0.05)
  [22/800] f104_crm_eval_group_0021 B z -8.239 (pess -7.941) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [23/800] f104_crm_eval_group_0022 B z -8.165 (pess -7.894) -> G abstain | valid 17/17 | 3.37s (cem 0.38 refine 2.93 [60 steps] finals 0.05)
  [24/800] f104_crm_eval_group_0023 B z -7.289 (pess -6.630) -> G z -8.047 (pess -7.775) gain 1.141 from B/sample step 60 | valid 17/17 | 3.43s (cem 0.38 refine 2.99 [60 steps] finals 0.05)
  [25/800] f104_crm_eval_group_0024 B z -7.747 (pess -7.481) -> G abstain | valid 17/17 | 3.34s (cem 0.36 refine 2.92 [60 steps] finals 0.05)
  [26/800] f104_crm_eval_group_0025 B z -8.024 (pess -7.839) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [27/800] f104_crm_eval_group_0026 B z -8.082 (pess -7.826) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [28/800] f104_crm_eval_group_0027 B z -8.091 (pess -7.843) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
