
=== world crm  (held-out groups; W = within-group AUC for goal-not-reached, P pooled, G same-speed; pick = failure rate of the lowest-risk route per group)
   arch |     ctx |  vplane |  energy |      lr |  params |    secs |       n |       W |     Wsd |    Wens |    Pens |    Gens |    pick |    rand |  oracle
   gru2 |    geom |   False |   0.000 |   0.002 |  472801 |  13.940 |       5 |   0.981 |   0.002 |   0.984 |   0.987 |   0.962 |   0.207 |   0.729 |   0.180
tx_conv |    geom |   False |   0.000 |   0.001 |  352994 |  39.600 |       5 |   0.978 |   0.002 |   0.984 |   0.987 |   0.954 |   0.225 |   0.729 |   0.180
 gru120 |    geom |   False |   0.000 |   0.002 |  351025 |  13.420 |       5 |   0.982 |   0.002 |   0.984 |   0.987 |   0.946 |   0.216 |   0.729 |   0.180
    gru |    geom |   False |   0.000 |   0.002 |  256161 |  12.100 |       5 |   0.979 |   0.002 |   0.983 |   0.986 |   0.946 |   0.225 |   0.729 |   0.180
 tx96_2 |    geom |   False |   0.000 |   0.001 |  356161 |  15.960 |       5 |   0.978 |   0.002 |   0.981 |   0.986 |   0.946 |   0.225 |   0.729 |   0.180
 tx96_2 |    geom |   False |   0.000 |   0.002 |  356161 |  30.760 |       5 |   0.978 |   0.003 |   0.981 |   0.987 |   0.962 |   0.225 |   0.729 |   0.180
tx128_4 |    geom |   False |   0.000 |   0.001 |  932033 |  50.440 |       5 |   0.976 |   0.002 |   0.981 |   0.986 |   0.938 |   0.225 |   0.729 |   0.180
tx_conv |    geom |   False |   0.000 |   0.002 |  352994 |  44.540 |       5 |   0.976 |   0.001 |   0.981 |   0.985 |   0.946 |   0.216 |   0.729 |   0.180
patch4_128_4 |    geom |   False |   0.000 |   0.001 |  958721 |  17.040 |       5 |   0.978 |   0.003 |   0.980 |   0.984 |   0.938 |   0.207 |   0.729 |   0.180
tx128_4 |    geom |   False |   0.000 |   0.002 |  932033 |  55.540 |       5 |   0.975 |   0.003 |   0.980 |   0.986 |   0.938 |   0.234 |   0.729 |   0.180
 tx96_4 |    geom |   False |   0.000 |   0.002 |  579841 |  68.720 |       5 |   0.974 |   0.003 |   0.980 |   0.986 |   0.954 |   0.216 |   0.729 |   0.180
patch4_128_4 |    geom |   False |   0.000 |   0.002 |  958721 |  16.860 |       5 |   0.975 |   0.002 |   0.979 |   0.985 |   0.938 |   0.216 |   0.729 |   0.180
 tx96_4 |    geom |   False |   0.000 |   0.001 |  579841 |  70.120 |       5 |   0.975 |   0.002 |   0.978 |   0.985 |   0.946 |   0.234 |   0.729 |   0.180
    mlp |    geom |   False |   0.000 |   0.002 |  173345 |  11.540 |       5 |   0.974 |   0.003 |   0.977 |   0.981 |   0.946 |   0.243 |   0.729 |   0.180

=== world rigid  (held-out groups; W = within-group AUC for goal-not-reached, P pooled, G same-speed; pick = failure rate of the lowest-risk route per group)
   arch |     ctx |  vplane |  energy |      lr |  params |    secs |       n |       W |     Wsd |    Wens |    Pens |    Gens |    pick |    rand |  oracle
tx128_4 |    geom |   False |   0.000 |   0.002 |  932033 |  55.260 |       5 |   0.910 |   0.005 |   0.917 |   0.912 |   0.886 |   0.000 |   0.186 |   0.000
tx128_4 |    geom |   False |   0.000 |   0.001 |  932033 |  77.960 |       5 |   0.907 |   0.005 |   0.916 |   0.914 |   0.886 |   0.000 |   0.186 |   0.000
    gru |    geom |   False |   0.000 |   0.002 |  256161 |  42.840 |       5 |   0.914 |   0.002 |   0.916 |   0.917 |   0.900 |   0.000 |   0.186 |   0.000
 tx96_2 |    geom |   False |   0.000 |   0.001 |  356161 |  53.480 |       5 |   0.907 |   0.004 |   0.916 |   0.914 |   0.886 |   0.000 |   0.186 |   0.000
 tx96_2 |    geom |   False |   0.000 |   0.002 |  356161 |  52.340 |       5 |   0.906 |   0.004 |   0.915 |   0.916 |   0.900 |   0.000 |   0.186 |   0.000
   gru2 |    geom |   False |   0.000 |   0.002 |  472801 |  50.900 |       5 |   0.910 |   0.003 |   0.915 |   0.916 |   0.900 |   0.000 |   0.186 |   0.000
 tx96_4 |    geom |   False |   0.000 |   0.001 |  579841 |  42.140 |       5 |   0.908 |   0.002 |   0.914 |   0.915 |   0.900 |   0.000 |   0.186 |   0.000
tx_conv |    geom |   False |   0.000 |   0.001 |  352994 |  38.360 |       5 |   0.906 |   0.004 |   0.914 |   0.915 |   0.871 |   0.000 |   0.186 |   0.000
patch4_128_4 |    geom |   False |   0.000 |   0.002 |  958721 |  16.480 |       5 |   0.904 |   0.004 |   0.913 |   0.911 |   0.871 |   0.000 |   0.186 |   0.000
 gru120 |    geom |   False |   0.000 |   0.002 |  351025 |  46.680 |       5 |   0.907 |   0.004 |   0.910 |   0.916 |   0.871 |   0.000 |   0.186 |   0.000
    mlp |    geom |   False |   0.000 |   0.002 |  173345 |  40.220 |       5 |   0.906 |   0.003 |   0.909 |   0.914 |   0.914 |   0.000 |   0.186 |   0.000
patch4_128_4 |    geom |   False |   0.000 |   0.001 |  958721 |  18.080 |       5 |   0.901 |   0.003 |   0.909 |   0.908 |   0.886 |   0.000 |   0.186 |   0.000
tx_conv |    geom |   False |   0.000 |   0.002 |  352994 |  38.720 |       5 |   0.904 |   0.005 |   0.907 |   0.914 |   0.886 |   0.000 |   0.186 |   0.000
