
=== world crm  (held-out groups; W = within-group AUC for goal-not-reached, P pooled, G same-speed; pick = failure rate of the lowest-risk route per group)
   arch |     ctx |  vplane |  energy |      lr |  params |    secs |       n |       W |     Wsd |    Wens |    Pens |    Gens |    pick |    rand |  oracle |  E_rmse |   E_rho | E_curse |  T_rmse |   T_rho
    gru |    geom |   False |   0.300 |   0.002 |  256419 |  52.400 |       5 |   0.981 |   0.001 |   0.984 |   0.986 |   0.946 |   0.225 |   0.729 |   0.180 |   0.245 |   0.384 |   1.003 |   0.099 |   0.847
    gru |    geom |   False |   0.100 |   0.002 |  256419 |  70.160 |       5 |   0.980 |   0.001 |   0.982 |   0.987 |   0.946 |   0.225 |   0.729 |   0.180 |   0.257 |  -0.258 |   0.902 |   0.105 |   0.834
    gru |    geom |   False |   1.000 |   0.002 |  256419 |  71.280 |       5 |   0.981 |   0.002 |   0.982 |   0.987 |   0.946 |   0.225 |   0.729 |   0.180 |   0.188 |   0.501 |   0.973 |   0.084 |   0.863
 tx96_2 |    geom |   False |   1.000 |   0.001 |  356355 |  36.560 |       5 |   0.979 |   0.003 |   0.982 |   0.986 |   0.946 |   0.225 |   0.729 |   0.180 |   0.201 |   0.606 |   0.994 |   0.088 |   0.843
 tx96_2 |    geom |   False |   0.100 |   0.001 |  356355 |  37.480 |       5 |   0.976 |   0.002 |   0.980 |   0.986 |   0.946 |   0.243 |   0.729 |   0.180 |   0.296 |   0.429 |   0.994 |   0.127 |   0.806
tx128_4 |    geom |   False |   1.000 |   0.001 |  932291 |  45.660 |       5 |   0.976 |   0.003 |   0.980 |   0.986 |   0.946 |   0.234 |   0.729 |   0.180 |   0.190 |   0.620 |   0.997 |   0.085 |   0.870
 tx96_2 |    geom |   False |   0.300 |   0.001 |  356355 |  37.940 |       5 |   0.977 |   0.003 |   0.980 |   0.987 |   0.938 |   0.234 |   0.729 |   0.180 |   0.260 |   0.524 |   0.992 |   0.105 |   0.834
tx128_4 |    geom |   False |   0.100 |   0.001 |  932291 |  30.780 |       5 |   0.974 |   0.004 |   0.977 |   0.985 |   0.946 |   0.234 |   0.729 |   0.180 |   0.297 |   0.468 |   0.990 |   0.123 |   0.825
tx128_4 |    geom |   False |   0.300 |   0.001 |  932291 |  47.740 |       5 |   0.971 |   0.003 |   0.977 |   0.985 |   0.938 |   0.243 |   0.729 |   0.180 |   0.247 |   0.540 |   0.999 |   0.106 |   0.842

=== world rigid  (held-out groups; W = within-group AUC for goal-not-reached, P pooled, G same-speed; pick = failure rate of the lowest-risk route per group)
   arch |     ctx |  vplane |  energy |      lr |  params |    secs |       n |       W |     Wsd |    Wens |    Pens |    Gens |    pick |    rand |  oracle |  E_rmse |   E_rho | E_curse |  T_rmse |   T_rho
tx128_4 |    geom |   False |   1.000 |   0.001 |  932291 |  38.380 |       5 |   0.912 |   0.005 |   0.921 |   0.914 |   0.886 |   0.000 |   0.186 |   0.000 |   0.240 |   0.688 |   0.977 |   0.060 |   0.953
tx128_4 |    geom |   False |   0.100 |   0.001 |  932291 |  44.780 |       5 |   0.911 |   0.003 |   0.920 |   0.915 |   0.914 |   0.000 |   0.186 |   0.000 |   0.380 |   0.516 |   0.999 |   0.096 |   0.931
tx128_4 |    geom |   False |   0.300 |   0.001 |  932291 |  45.360 |       5 |   0.910 |   0.003 |   0.920 |   0.914 |   0.900 |   0.000 |   0.186 |   0.000 |   0.296 |   0.612 |   0.995 |   0.077 |   0.943
 tx96_2 |    geom |   False |   0.100 |   0.001 |  356355 |  33.160 |       5 |   0.909 |   0.003 |   0.916 |   0.912 |   0.871 |   0.000 |   0.186 |   0.000 |   0.401 |   0.489 |   0.982 |   0.101 |   0.927
    gru |    geom |   False |   0.300 |   0.002 |  256419 |  72.140 |       5 |   0.911 |   0.002 |   0.914 |   0.916 |   0.900 |   0.000 |   0.186 |   0.000 |   0.308 |   0.526 |   0.960 |   0.079 |   0.950
    gru |    geom |   False |   1.000 |   0.002 |  256419 |  71.540 |       5 |   0.912 |   0.004 |   0.914 |   0.916 |   0.871 |   0.000 |   0.186 |   0.000 |   0.248 |   0.653 |   0.966 |   0.061 |   0.959
    gru |    geom |   False |   0.100 |   0.002 |  256419 |  61.300 |       5 |   0.911 |   0.002 |   0.913 |   0.916 |   0.886 |   0.000 |   0.186 |   0.000 |   0.386 |   0.394 |   0.985 |   0.104 |   0.932
 tx96_2 |    geom |   False |   1.000 |   0.001 |  356355 |  31.420 |       5 |   0.907 |   0.004 |   0.912 |   0.914 |   0.900 |   0.000 |   0.186 |   0.000 |   0.258 |   0.658 |   0.979 |   0.062 |   0.950
 tx96_2 |    geom |   False |   0.300 |   0.001 |  356355 |  36.360 |       5 |   0.905 |   0.006 |   0.910 |   0.912 |   0.886 |   0.000 |   0.186 |   0.000 |   0.323 |   0.593 |   0.995 |   0.079 |   0.936
