
=== world crm  (held-out groups; W = within-group AUC for goal-not-reached, P pooled, G same-speed; pick = failure rate of the lowest-risk route per group)
   arch |     ctx |  vplane |  energy |      lr |  params |    secs |       n |       W |     Wsd |    Wens |    Pens |    Gens |    pick |    rand |  oracle | W_start |   W_mov |   W_v01 |   W_v13 |   W_v36 |   n_mov
 tx96_2 | chassis |   False |   0.000 |   0.001 |  356833 | 133.600 |       5 |   0.982 |   0.001 |   0.988 |   0.990 |   0.957 |   0.216 |   0.727 |   0.180 |   0.984 |   0.985 |   0.983 |   0.981 |   0.976 |    3080
    gru |     vel |   False |   0.000 |   0.002 |  256257 | 110.540 |       5 |   0.981 |   0.002 |   0.986 |   0.990 |   0.958 |   0.198 |   0.727 |   0.180 |   0.984 |   0.984 |   1.000 |   0.976 |   0.983 |    3080
    gru | chassis |   False |   0.000 |   0.002 |  256385 | 167.780 |       5 |   0.981 |   0.002 |   0.986 |   0.990 |   0.959 |   0.198 |   0.727 |   0.180 |   0.981 |   0.984 |   0.975 |   0.977 |   0.979 |    3080
    gru |    geom |    True |   0.000 |   0.002 |  256449 | 164.980 |       5 |   0.982 |   0.002 |   0.986 |   0.990 |   0.962 |   0.189 |   0.727 |   0.180 |   0.981 |   0.985 |   1.000 |   0.976 |   0.985 |    3080
 tx96_2 |    geom |   False |   0.000 |   0.001 |  356161 | 200.000 |       5 |   0.976 |   0.003 |   0.982 |   0.986 |   0.952 |   0.216 |   0.727 |   0.180 |   0.980 |   0.980 |   0.992 |   0.979 |   0.967 |    3080
    gru |    geom |   False |   0.000 |   0.002 |  256161 | 109.380 |       5 |   0.976 |   0.002 |   0.981 |   0.985 |   0.959 |   0.216 |   0.727 |   0.180 |   0.980 |   0.980 |   0.992 |   0.970 |   0.975 |    3080

=== world rigid  (held-out groups; W = within-group AUC for goal-not-reached, P pooled, G same-speed; pick = failure rate of the lowest-risk route per group)
   arch |     ctx |  vplane |  energy |      lr |  params |    secs |       n |       W |     Wsd |    Wens |    Pens |    Gens |    pick |    rand |  oracle | W_start |   W_mov |   W_v01 |   W_v13 |   W_v36 |   n_mov
 tx96_2 |    geom |   False |   0.000 |   0.001 |  356161 |  71.000 |       5 |   0.908 |   0.004 |   0.916 |   0.916 |   0.901 |   0.000 |   0.188 |   0.000 |   0.916 |   0.929 |   0.877 |   0.905 |   0.923 |    3582
    gru |    geom |    True |   0.000 |   0.002 |  256449 | 172.400 |       3 |   0.911 |   0.001 |   0.916 |   0.918 |   0.894 |   0.000 |   0.188 |   0.000 |   0.913 |   0.932 |   0.897 |   0.908 |   0.921 |    3582
    gru | chassis |   False |   0.000 |   0.002 |  256385 | 169.367 |       3 |   0.911 |   0.002 |   0.914 |   0.916 |   0.915 |   0.000 |   0.188 |   0.000 |   0.909 |   0.933 |   0.872 |   0.907 |   0.937 |    3582
    gru |    geom |   False |   0.000 |   0.002 |  256161 | 170.533 |       3 |   0.910 |   0.003 |   0.914 |   0.917 |   0.893 |   0.000 |   0.188 |   0.000 |   0.912 |   0.930 |   0.880 |   0.908 |   0.917 |    3582
 tx96_2 | chassis |   False |   0.000 |   0.001 |  356833 | 208.500 |       3 |   0.908 |   0.003 |   0.914 |   0.915 |   0.893 |   0.009 |   0.188 |   0.000 |   0.915 |   0.928 |   0.850 |   0.908 |   0.906 |    3582
    gru |     vel |   False |   0.000 |   0.002 |  256257 | 168.533 |       3 |   0.907 |   0.001 |   0.911 |   0.916 |   0.906 |   0.000 |   0.188 |   0.000 |   0.909 |   0.928 |   0.894 |   0.899 |   0.922 |    3582
