trial_id,scene_id,planning_mode,energy_weight_s_per_kj,process_exit_code,artifact_valid,verified_schema_safe_goal,status,elapsed_s,goal_time_s,goal_progress_m,positive_work_kj,schema_contact,schema_rollover,bounded_blockage_v1,planning_decisions,planning_abstentions,planning_abstention_fraction,commanded_zero_speed_pause_s,rejected_fresh_candidates,decisions_with_rejected_fresh,max_rejected_fresh_per_decision
diverse_v1_val_rolling_hills_00_time_once_best,diverse_v1_val_rolling_hills_00,plan_once,0.0,0,True,False,timeout,180.0,,61.08498094215679,11058.67591963716,True,False,True,1,0,0.0,0.0,0,0,0
diverse_v1_val_ridge_passes_00_time_once_best,diverse_v1_val_ridge_passes_00,plan_once,0.0,0,True,True,goal_reached,41.25,41.25,225.32213334209646,244.4126658301957,False,False,False,1,0,0.0,0.0,0,0,0
diverse_v1_val_cross_slopes_00_time_once_best,diverse_v1_val_cross_slopes_00,plan_once,0.0,0,True,True,goal_reached,41.150000000000006,41.150000000000006,225.30419859987833,259.7309000736824,False,False,False,1,0,0.0,0.0,0,0,0
diverse_v1_val_valley_network_00_time_once_best,diverse_v1_val_valley_network_00,plan_once,0.0,0,True,True,goal_reached,41.150000000000006,41.150000000000006,225.26426414914906,292.2167383086977,False,False,False,1,0,0.0,0.0,0,0,0
diverse_v1_val_rough_mosaic_00_time_once_best,diverse_v1_val_rough_mosaic_00,plan_once,0.0,0,True,False,rollover,10.25,,55.44110584417919,264.57423693134655,True,True,False,1,0,0.0,0.0,0,0,0
diverse_v1_val_mixed_obstacles_00_time_once_best,diverse_v1_val_mixed_obstacles_00,plan_once,0.0,0,True,False,timeout,180.0,,86.1196113112612,10651.797972525834,True,False,True,1,0,0.0,0.0,0,0,0
diverse_v1_val_rolling_hills_00_energy002_once_best,diverse_v1_val_rolling_hills_00,plan_once,0.02,0,True,False,timeout,180.0,,61.08498094215679,11058.67591963716,True,False,True,1,0,0.0,0.0,0,0,0
diverse_v1_val_ridge_passes_00_energy002_once_best,diverse_v1_val_ridge_passes_00,plan_once,0.02,0,True,True,goal_reached,41.2,41.2,225.3440097128911,244.397997079855,False,False,False,1,0,0.0,0.0,0,0,0
diverse_v1_val_cross_slopes_00_energy002_once_best,diverse_v1_val_cross_slopes_00,plan_once,0.02,0,True,True,goal_reached,41.150000000000006,41.150000000000006,225.3381403943654,259.06454795496796,False,False,False,1,0,0.0,0.0,0,0,0
diverse_v1_val_valley_network_00_energy002_once_best,diverse_v1_val_valley_network_00,plan_once,0.02,0,True,False,timeout,180.0,,67.34273355240785,12203.176573323857,True,False,True,1,0,0.0,0.0,0,0,0
