trial_id,split,scene_id,planning_mode,energy_weight_s_per_kj,artifact_valid,verified_schema_safe_goal,status,goal_time_s,elapsed_s,positive_work_kj,schema_contact,bounded_blockage_v1,planning_abstentions,commanded_zero_speed_pause_s
diverse_v1_test_cross_slopes_00_receding_last_energy002,test,diverse_v1_test_cross_slopes_00,receding,0.02,True,True,goal_reached,40.75,40.75,273.1625377550489,False,False,0,0.0
diverse_v1_test_cross_slopes_00_receding_last_time,test,diverse_v1_test_cross_slopes_00,receding,0.0,True,True,goal_reached,41.0,41.0,287.53525401097886,False,False,0,0.0
diverse_v1_test_mixed_obstacles_00_receding_last_energy002,test,diverse_v1_test_mixed_obstacles_00,receding,0.02,True,True,goal_reached,41.5,41.5,282.2657402220865,False,False,0,0.0
diverse_v1_test_mixed_obstacles_00_receding_last_time,test,diverse_v1_test_mixed_obstacles_00,receding,0.0,True,False,timeout,,180.0,8716.190718268901,True,False,24,24.000000000050292
diverse_v1_test_ridge_passes_00_receding_last_energy002,test,diverse_v1_test_ridge_passes_00,receding,0.02,True,True,goal_reached,40.85,40.85,292.06130109961344,False,False,0,0.0
diverse_v1_test_ridge_passes_00_receding_last_time,test,diverse_v1_test_ridge_passes_00,receding,0.0,True,True,goal_reached,40.550000000000004,40.550000000000004,294.23109863995154,False,False,0,0.0
diverse_v1_test_rolling_hills_00_receding_last_energy002,test,diverse_v1_test_rolling_hills_00,receding,0.02,True,False,goal_reached,74.65,74.65,2630.772607690229,True,False,19,19.00000000000616
diverse_v1_test_rolling_hills_00_receding_last_time,test,diverse_v1_test_rolling_hills_00,receding,0.0,True,True,goal_reached,54.6,54.6,1665.8787042859983,False,False,7,7.000000000006779
diverse_v1_test_rough_mosaic_00_receding_last_energy002,test,diverse_v1_test_rough_mosaic_00,receding,0.02,True,True,goal_reached,40.650000000000006,40.650000000000006,257.1610307919182,False,False,0,0.0
diverse_v1_test_rough_mosaic_00_receding_last_time,test,diverse_v1_test_rough_mosaic_00,receding,0.0,True,True,goal_reached,40.35,40.35,257.18719187129085,False,False,0,0.0
diverse_v1_test_valley_network_00_receding_last_energy002,test,diverse_v1_test_valley_network_00,receding,0.02,True,True,goal_reached,41.050000000000004,41.050000000000004,316.84664901292496,False,False,0,0.0
diverse_v1_test_valley_network_00_receding_last_time,test,diverse_v1_test_valley_network_00,receding,0.0,True,False,timeout,,180.0,7243.221529525876,False,False,28,28.000000000021785
diverse_v1_val_cross_slopes_00_receding_last_energy002,val,diverse_v1_val_cross_slopes_00,receding,0.02,True,True,goal_reached,40.5,40.5,262.8503718417773,False,False,0,0.0
diverse_v1_val_cross_slopes_00_receding_last_time,val,diverse_v1_val_cross_slopes_00,receding,0.0,True,True,goal_reached,40.1,40.1,273.2264782225521,False,False,0,0.0
diverse_v1_val_mixed_obstacles_00_receding_last_energy002,val,diverse_v1_val_mixed_obstacles_00,receding,0.02,True,False,timeout,,180.0,1004.3802568538244,False,False,143,143.00000000013318
diverse_v1_val_mixed_obstacles_00_receding_last_time,val,diverse_v1_val_mixed_obstacles_00,receding,0.0,True,True,goal_reached,52.95,52.95,1164.8304896772631,False,False,9,9.000000000002117
diverse_v1_val_ridge_passes_00_receding_last_energy002,val,diverse_v1_val_ridge_passes_00,receding,0.02,True,True,goal_reached,56.150000000000006,56.150000000000006,1415.6635729665907,False,False,11,11.000000000008114
diverse_v1_val_ridge_passes_00_receding_last_time,val,diverse_v1_val_ridge_passes_00,receding,0.0,True,False,timeout,,180.0,7426.218018531945,True,True,53,53.000000000068326
diverse_v1_val_rolling_hills_00_receding_last_energy002,val,diverse_v1_val_rolling_hills_00,receding,0.02,True,True,goal_reached,38.650000000000006,38.650000000000006,313.1029614234718,False,False,0,0.0
diverse_v1_val_rolling_hills_00_receding_last_time,val,diverse_v1_val_rolling_hills_00,receding,0.0,True,True,goal_reached,38.35,38.35,335.33022204137,False,False,0,0.0
diverse_v1_val_rough_mosaic_00_receding_last_energy002,val,diverse_v1_val_rough_mosaic_00,receding,0.02,True,False,timeout,,180.0,3288.4631767895653,True,False,120,120.00000000016458
diverse_v1_val_rough_mosaic_00_receding_last_time,val,diverse_v1_val_rough_mosaic_00,receding,0.0,True,False,timeout,,180.0,3722.2842300702896,False,True,148,148.0000000001393
